fill	x	y	tooltip
#FFFFFF	0.683816522286173	0.0464934872937747	BROWNSVILLE 6.4 SE
#FFFFFF	0.693234362389218	0.054637536021213	BROWNSVILLE 12.6 E
#FFFFFF	0.625896805652451	0.0747716711473719	MCALLEN MILLER AIRPORT
#FFFFFF	0.633998918094041	0.0662438714327768	SANTA ANA NWR
#FFFFFF	0.660341170852849	0.0762299248985676	HARLINGEN 4.4 W
#FFFFFF	0.679772390947808	0.0656639810521844	LOS FRESNOS 0.3 NE
#FFFFFF	0.688781662987558	0.0732281393990302	PORT ISABEL CAMERON CO AIRPORT
#FFFFFF	0.587269811465112	0.0912303245965401	RIO GRANDE CITY
#FFFFFF	0.632572392313727	0.0845104184214394	EDINBURG
#FFFFFF	0.652384480942263	0.0817388835141958	SANTA ROSA 3 WNW
#FFFFFF	0.679592344004661	0.0875718985189789	RIO HONDO 9.4 NE
#FFFFFF	0.564729319159664	0.106682697679386	FALCON DAM
#FFFFFF	0.635148448577206	0.107271115859693	SAN MANUEL
#FFFFFF	0.658485302361956	0.119372063654704	RAYMONDVILLE
#FFFFFF	0.683200207750018	0.106657114280243	PORT MANSFIELD
#FFFFFF	0.575559835278165	0.146643967141979	ESCOBAS
#FFFFFF	0.635148448577206	0.155905157632029	FALFURRIAS
#FFFFFF	0.611278378845446	0.173387147046948	HEBBRONVILLE 13.6 E
#FFFFFF	0.655694574743186	0.180303192615485	KINGSVILLE 6.5 SSE
#FFFFFF	0.692181780260054	0.182460725943278	PADRE ISLAND NATIONAL SEASHORE
#FFFFFF	0.539723568709596	0.192830530396225	LAREDO 2
#FFFFFF	0.571301032584509	0.202057609687417	FREER 29.5 WSW
#FFFFFF	0.614664646353085	0.195269481114599	BENAVIDES 2
#FFFFFF	0.641768636179052	0.207566568303045	ALICE AIRPORT
#FFFFFF	0.653887180429293	0.189658188902396	KINGSVILLE
#FFFFFF	0.685146099712485	0.200701689532796	CORPUS CHRISTI BOTANICAL GARDENS
#FFFFFF	0.697167695608724	0.194723701932865	CORPUS CHRISTI 9.0 SSE
#FFFFFF	0.529966409367545	0.221330437042402	LAS TIENDAS RANCH
#FFFFFF	0.547590235148609	0.227726286828348	ENCINAL
#FFFFFF	0.600717933141664	0.218746513728879	FREER
#FFFFFF	0.638957133912997	0.228937234387821	ORANGE GROVE 8.1 WNW
#FFFFFF	0.652308307235547	0.232817383257961	MATHIS 4 SSW
