"","id","long","lat","order","piece","group","OBJECTID","SEG_ID","BASIN_ID","BASIN_NAME","SEG_NAME","SEG_CLASS","SEG_TYPE","SIZE_","SIZE_UNIT","SEG_DESCRI","IMP_AQUATI","IMP_CONTAC","IMP_GENERA","IMP_FISH_C","IMP_PWS","IMP_OYSTER","IMP_REC_BE","IMPAIRED","YEAR","SHAPE_LEN","npts","isRiver"
"1","1001",-100.12437056,30.8325,1,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"2","1001",-99.83694889,30.92908111,2,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"3","1001",-99.64939667,30.87634,3,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"4","1001",-99.46812444,30.910925,4,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"5","1001",-99.26576556,31.00574611,5,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"6","1001",-99.05804333,31.04856722,6,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"7","1001",-98.857455,31.218545,7,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"8","1001",-98.70394444,31.198095,8,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"9","1001",-98.59580333,31.25310556,9,"1","1001.1",807,"1416",14,"Colorado River Basin","San Saba River","Classified","Freshwater Stream",144.06,"Miles","From the confluence with the Colorado River in San Saba County to the confluence of the North Valley Prong and the Middle Valley Prong in Schleicher County","N","Y","N","N","N","N","N","Y","2012",2.30657918773,9,TRUE
"10","1002",-99.65550222,30.09461556,1,"1","1002.1",1010,"1817",18,"Guadalupe River Basin","North Fork Guadalupe River","Classified","Freshwater Stream",28.16,"Miles","From the confluence with the Guadalupe River in Kerr County to a point 18.2 km (11.3 miles) upstream of Boneyard Draw in Kerr County","N","N","N","N","N","N","N","N","2012",0.446508203591,3,TRUE
"11","1002",-99.53318222,30.05171778,2,"1","1002.1",1010,"1817",18,"Guadalupe River Basin","North Fork Guadalupe River","Classified","Freshwater Stream",28.16,"Miles","From the confluence with the Guadalupe River in Kerr County to a point 18.2 km (11.3 miles) upstream of Boneyard Draw in Kerr County","N","N","N","N","N","N","N","N","2012",0.446508203591,3,TRUE
"12","1002",-99.33105722,30.07128278,3,"1","1002.1",1010,"1817",18,"Guadalupe River Basin","North Fork Guadalupe River","Classified","Freshwater Stream",28.16,"Miles","From the confluence with the Guadalupe River in Kerr County to a point 18.2 km (11.3 miles) upstream of Boneyard Draw in Kerr County","N","N","N","N","N","N","N","N","2012",0.446508203591,3,TRUE
"13","1009",-97.82442722,30.67591667,1,"1","1009.1",962,"1248D",12,"Brazos River Basin","Middle Fork San Gabriel River","Unclassified","Freshwater Stream",15.56,"Miles","From its confluence with the North Fork San Gabriel River, upstream to its headwaters 2.6 miles north of SH 29 in Williamson County.","N","N","N","N","N","N","N","N","2012",0.242046254426,3,TRUE
"14","1009",-97.75563889,30.63575667,2,"1","1009.1",962,"1248D",12,"Brazos River Basin","Middle Fork San Gabriel River","Unclassified","Freshwater Stream",15.56,"Miles","From its confluence with the North Fork San Gabriel River, upstream to its headwaters 2.6 miles north of SH 29 in Williamson County.","N","N","N","N","N","N","N","N","2012",0.242046254426,3,TRUE
"15","1009",-97.69415389,30.65171556,3,"1","1009.1",962,"1248D",12,"Brazos River Basin","Middle Fork San Gabriel River","Unclassified","Freshwater Stream",15.56,"Miles","From its confluence with the North Fork San Gabriel River, upstream to its headwaters 2.6 miles north of SH 29 in Williamson County.","N","N","N","N","N","N","N","N","2012",0.242046254426,3,TRUE
"16","1010",-98.17890167,30.74853611,1,"1","1010.1",963,"1250",12,"Brazos River Basin","South Fork San Gabriel River","Classified","Freshwater Stream",41.26,"Miles","From the confluence with the North Fork San Gabriel River in Williamson County to the most upstream crossing of SH 29 in Burnet County","N","N","N","N","N","N","N","N","2012",0.661989189116,4,TRUE
"17","1010",-97.99999833,30.70185667,2,"1","1010.1",963,"1250",12,"Brazos River Basin","South Fork San Gabriel River","Classified","Freshwater Stream",41.26,"Miles","From the confluence with the North Fork San Gabriel River in Williamson County to the most upstream crossing of SH 29 in Burnet County","N","N","N","N","N","N","N","N","2012",0.661989189116,4,TRUE
"18","1010",-97.86821278,30.61689889,3,"1","1010.1",963,"1250",12,"Brazos River Basin","South Fork San Gabriel River","Classified","Freshwater Stream",41.26,"Miles","From the confluence with the North Fork San Gabriel River in Williamson County to the most upstream crossing of SH 29 in Burnet County","N","N","N","N","N","N","N","N","2012",0.661989189116,4,TRUE
"19","1010",-97.67170944,30.64650722,4,"1","1010.1",963,"1250",12,"Brazos River Basin","South Fork San Gabriel River","Classified","Freshwater Stream",41.26,"Miles","From the confluence with the North Fork San Gabriel River in Williamson County to the most upstream crossing of SH 29 in Burnet County","N","N","N","N","N","N","N","N","2012",0.661989189116,4,TRUE
"20","1011",-98.23684778,30.894995,1,"1","1011.1",964,"1251",12,"Brazos River Basin","North Fork San Gabriel River","Classified","Freshwater Stream",41.77,"Miles","From a point 6.6 km (4.1 miles) downstream of US 183 in Williamson County to the confluence of Allen Branch in Burnet County","N","N","N","N","N","N","N","N","2012",0.663862310757,4,TRUE
"21","1011",-97.92806667,30.80689722,2,"1","1011.1",964,"1251",12,"Brazos River Basin","North Fork San Gabriel River","Classified","Freshwater Stream",41.77,"Miles","From a point 6.6 km (4.1 miles) downstream of US 183 in Williamson County to the confluence of Allen Branch in Burnet County","N","N","N","N","N","N","N","N","2012",0.663862310757,4,TRUE
"22","1011",-97.89985111,30.71183556,3,"1","1011.1",964,"1251",12,"Brazos River Basin","North Fork San Gabriel River","Classified","Freshwater Stream",41.77,"Miles","From a point 6.6 km (4.1 miles) downstream of US 183 in Williamson County to the confluence of Allen Branch in Burnet County","N","N","N","N","N","N","N","N","2012",0.663862310757,4,TRUE
